idx	slug	name
229	yi-mei-34.1315_-118.0194	Yi Mei
230	petit-trois-34.0842_-118.3382	Petit Trois
231	sono-felice-by-christine-34.0551_-118.3087	Sono Felice by Christine
232	bcd-tofu-house-34.0561_-118.3095	BCD Tofu House
233	ahgassi-gopchang-34.0633_-118.3039	Ahgassi Gopchang
234	chicha-san-chen-34.0632_-118.3018	Chicha San Chen
235	damsot-34.0625_-118.2977	Damsot
236	rok-coffee-and-tea-34.0524_-118.3023	Rok Coffee and Tea
237	rice-nori-34.1156_-118.1509	Rice & Nori
238	macy-s-34.139_-118.133	Macy's
239	residence-inn-los-angeles-pasadena-old-t-34.1503_-118.1508	Residence Inn Los Angeles Pasadena/Old Town
240	cos-34.0592_-118.4185	Cos
241	olive-young-34.1454_-118.1518	Olive Young
242	sul-beans-34.0629_-118.31	Sul & Beans
243	424-34.0839_-118.3747	424
244	vivienne-westwood-34.0835_-118.3711	Vivienne Westwood
245	glossier-34.0821_-118.3774	Glossier
246	community-goods-34.0822_-118.3823	Community Goods
247	out-of-ordi-34.0574_-118.3076	Out Of Ordi
248	nana-s-green-tea-34.1467_-118.1492	Nana's Green Tea
249	arc-teryx-34.0719_-118.3442	Arc'teryx
250	community-goods-34.0841_-118.3636	Community Goods
251	adidas-y3-34.083_-118.3739	Adidas Y3
252	chrome-hearts-34.081_-118.3853	Chrome Hearts
253	bape-store-34.0807_-118.386	BAPE STORE
254	madhappy-34.0806_-118.3869	Madhappy
255	2nd-street-34.0835_-118.3547	2nd Street
256	providence-34.0836_-118.3302	Providence
257	kith-34.0678_-118.4011	Kith
258	the-vitamin-shoppe-34.1427_-118.1327	The Vitamin Shoppe
259	sugarfish-34.1433_-118.1318	SUGARFISH
260	mendocino-farms-34.1418_-118.132	Mendocino Farms
261	tosakko-ramen-yakitori-34.146_-118.1453	Tosakko Ramen & Yakitori
262	woon-34.169_-118.122	Woon
263	dumpling-wei-34.1462_-118.1186	Dumpling Wei
264	badash-bakes-34.146_-118.1453	Badash Bakes
265	cava-34.1401_-118.1329	CAVA
266	tsukiyo-sushi-34.0621_-118.3133	Tsukiyo Sushi
267	sonmari-34.0891_-118.2763	Sonmari
268	sugarfish-34.0683_-118.3982	SUGARFISH
269	restaurant-ki-34.0501_-118.2414	Restaurant Ki
270	sushi-kaneyoshi-34.0501_-118.2414	Sushi Kaneyoshi
271	jeong-yuk-jeom-34.0629_-118.3095	Jeong Yuk Jeom
272	nobu-34.0871_-118.3767	Nobu
273	kod-34.0342_-118.2297	kodō
274	longo-seafood-restaurant-34.0624_-118.1047	Longo Seafood Restaurant
275	dai-ho-restaurant-34.1053_-118.0693	Dai Ho Restaurant
276	sea-harbour-seafood-restaurant-34.0798_-118.0735	Sea Harbour Seafood Restaurant
277	lunasia-dim-sum-house-34.0922_-118.1323	Lunasia Dim Sum House
278	mun-korean-steakhouse-34.0638_-118.2985	MUN Korean Steakhouse
279	chosun-galbee-34.0524_-118.3103	Chosun Galbee
280	3cat-34.0584_-118.3088	3CAT
281	sun-nong-dan-34.0592_-118.3088	Sun Nong Dan
282	parks-bbq-34.0538_-118.292	Parks BBQ
283	marugame-monzo-34.0501_-118.24	Marugame Monzo
284	sushi-gen-34.0467_-118.2387	Sushi Gen
285	gwen-34.0978_-118.3334	Gwen
286	kali-34.0834_-118.3244	Kali
287	miopane-34.1475_-118.1491	Miopane
288	chagee-modern-teahouse-34.1437_-118.2558	Chagee Modern Teahouse
289	auntea-jenny-34.0797_-118.1044	Auntea Jenny
290	charlie-s-tea-34.0802_-118.1027	Charlie's Tea
291	heytea-34.0681_-118.1341	Heytea
292	molly-tea-34.0796_-118.1063	Molly Tea
293	danbi-coffee-34.1448_-118.1232	Danbi Coffee
294	a-little-tea-34.1463_-118.1159	A Little Tea
