name	category	price	lat	lng	address
Fernandez Restaurant Birrieria	Mexican Cuisine		32.5756857	-117.0844638	2265 Flower Ave, Ste D, San Diego, CA  92154, United States
San Ho Won	Korean BBQ Restaurant	$$$$	37.7596041	-122.4102205	2170 Bryant St, San Francisco, CA  94110, United States
Butter & Crumble	Pastry Shop		37.8049926	-122.4096277	271 Francisco St, San Francisco, CA 94133, United States
Arsicault Bakery	Bakery		37.7833925	-122.4593318	397 Arguello Blvd, San Francisco, CA 94118, United States
Arsicault	Bakery	$	37.780831	-122.413345	87 McAllister St, San Francisco, CA  94102, United States
Ham Ji Park	Korean Cuisine		34.0637074	-118.2959478	3407 W 6th St, Los Angeles, CA  90020, United States
Moo's Craft Barbecue	BBQ Restaurant		34.0732602	-118.2181934	2118 N Broadway, Los Angeles, CA  90031, United States
Pinecone Bakeshop	Bakery Cafe		34.0943569	-118.1282403	116 W Main St, Alhambra, CA  91801, United States
Yunomi Handroll	Sushi Restaurant	$$	34.0456543	-118.2359443	806 E 3rd St, Los Angeles, CA  90013, United States
Sudachi	Sushi Restaurant		34.0326124	-118.4546663	12101 W Olympic Blvd, Los Angeles, CA  90064, United States
Apollonia's Pizzeria	Pizza Restaurant	$$	34.0618147	-118.3427739	5176 Wilshire Blvd, Los Angeles, CA  90036, United States
Quarter Sheets	Pizza Restaurant	$$	34.0758115	-118.2543366	1305 Portia St, Los Angeles, CA  90026, United States
Mama Xita BBQ	BBQ Restaurant		34.1038273	-118.0738654	5701 Rosemead Blvd, Temple City, CA  91780, United States
Temaki Society	Sushi Restaurant		34.049933	-118.2492508	351 S Broadway, Los Angeles, CA  90013, United States
KyungBokKung	Korean Cuisine	$$$	33.849275	-117.998526	7801 Beach Blvd, Buena Park, CA  90620, United States
Dha Rae Ok	Korean Cuisine	$$	34.0505127	-118.3088654	1106 S Western Ave, Los Angeles, CA  90006, United States
Good Mong Kok Bakery	Dim Sum Restaurant	$	37.7954364	-122.4083617	1039 Stockton St, San Francisco, CA 94108, United States
Sotto Mare	Italian Cuisine		37.7998003	-122.4083436	552 Green St, San Francisco, CA  94133, United States
Pop Mart	Toy Store		37.786615	-122.4078912	200 Powell St, San Francisco, CA  94102, United States
A Bathing Ape	Fashion Accessory Store		37.7878736	-122.4064116	216 Stockton St, San Francisco, CA  94108, United States
La Perla Cocina Mexicana #3	Mexican Cuisine	$$	32.7231718	-117.2309929	1224 Rosecrans St, San Diego, CA 92106, United States
Space City Vintage	Vintage Clothing Store		34.0497668	-118.2397845	339 1/2 E 1st St, Los Angeles, CA 90012, United States
Bestia	Italian Cuisine		34.0336613	-118.2293084	2121 E 7th Pl, Los Angeles, CA 90021, United States
Shin-Sen-Gumi	Japanese Cuisine		34.0479311	-118.2399154	368 E 2nd St, Los Angeles, CA  90012, United States
Woody	Clothing Store		34.0455303	-118.2365278	702 Traction Ave, Los Angeles, CA  90013, United States
Dover Street Market	Men's Clothing Store		34.0377935	-118.2314288	606-608 Imperial Street, Los Angeles, CA 90021, United States
Still Life Studios	Art Studio		34.0388062	-118.2326311	588 Mateo St, Los Angeles, CA  90013, United States
Cafe Little Tokyo by FR2	Coffee Shop		34.0497707	-118.2397578	339 E 1st St, Los Angeles, CA  90012, United States
Okayama Kobo	Bakery	$	34.0496591	-118.2401616	328 E 1st St, Los Angeles, CA  90012, United States
Fugetsu-Do	Confectionery	$$	34.0501998	-118.2404003	315 E 1st St, Los Angeles, CA  90012, United States
Little Tokyo Farmers' Market	Farmers Market		34.0478701	-118.2419225	244 S San Pedro St, Los Angeles, CA  90012, United States
Little Tokyo Galleria Shopping Center	Shopping Center		34.0445489	-118.2384398	333 S Alameda St, Los Angeles, CA  90013, United States
Ten no Meshi	Japanese Cuisine		34.0408361	-118.4433297	2006 Sawtelle Blvd, Los Angeles, CA  90025, United States
Liu's Cafe	Taiwanese Cuisine	$$	34.063627	-118.3084357	3915 1/2 W. 6th Street Los Angeles, CA  90020 United States
Hey Tea	Bubble Tea Shop		34.070381	-118.4049363	9523 S Santa Monica Blvd, Beverly Hills, CA  90210, United States
Go Greek Yogurt	Frozen Yogurt Shop	$$	34.0689413	-118.4058733	452 N Bedford Dr, Beverly Hills, CA  90210, United States
Sushi Kyo	Japanese Cuisine		34.1499667	-118.0012336	141 S Myrtle Ave, Monrovia, CA  91016, United States
Kanomwaan Thai Gelato and Dessert Cafe	Gelato Shop	$$	34.1020972	-118.3054778	5261 Hollywood Blvd, Los Angeles, CA 90027, United States
Lingyun Milk Fun	Dessert Shop		34.0789599	-118.1228382	1308 S Garfield Ave, Alhambra, CA  91801, United States
The Gourmet Cobbler Factory	BBQ Restaurant	$	34.1466072	-118.1295437	33 N Catalina Ave, Pasadena, CA  91106, United States
Little Akihabara	Pop-Up Shop		34.0494179	-118.2407401	319 E 2nd St STE 122, Los Angeles, CA  90012, United States
Amboy	Burger Restaurant	$$	34.0613347	-118.2395947	727 N Broadway, Unit 117, Los Angeles, CA  90012, United States
Miya Miya	Middle Eastern Cuisine		34.0334657	-118.2421709	777 S Alameda St, Los Angeles, CA  90021, United States
Chinese Bakery & Deli	Bakery	$	37.6920305	-122.1475721	981a Manor Blvd, San Leandro, CA 94579, United States
Good Alley	Chinese Cuisine	$$	34.079777	-118.0848262	8450 E Valley Blvd, Suite 108, Rosemead, CA  91770, United States
Del Amo Fashion Center	Shopping Mall		33.8311286	-118.3493883	3525 Carson St Torrance, CA 90503 United States
Luv2eat Thai Bistro	Thai Cuisine		34.0977086	-118.3358579	6660 W Sunset Blvd, Los Angeles, CA 90028, United States
Bone Kettle	Asian Fusion Cuisine	$$$	34.147072	-118.149117	67 N Raymond Ave, Pasadena, CA  91103, United States
Tsuke Artisan Noodle	Ramen Restaurant		34.1452438	-118.1521049	10 S De Lacey Ave, Pasadena, CA  91105, United States
Onigiri Time	Street Food		34.1461048	-118.1298175	999 E Colorado Blvd, Pasadena, CA  91106, United States
Bodegon No 69	Peruvian Cuisine	$$	34.1471601	-118.1490464	69 N Raymond Ave, Pasadena, CA  91103, United States
Kang Kang Food Court	Chinese Cuisine	$$	34.0788204	-118.1224465	27 E Valley Blvd, Alhambra, CA  91801, United States
Ry's Poke Shack	Hawaiian Cuisine		34.1456925	-118.094881	2700 E Colorado Blvd, Pasadena, CA 91107, United States
Stagger Coffee	Coffee Shop	$$	34.058221	-118.2937522	3069 1/2 W 8th St Los Angeles, CA  90005 United States
MENSHO	Ramen Restaurant		37.9002121	-122.0609334	1512 N Main St, Walnut Creek, CA  94596, United States
Paper Rice - Spring Rolls & Bowls	Vietnamese Cuisine	$$	34.1466733	-118.1498151	20 E Union St, Unit 150, Pasadena, CA 91103, United States
Okaeri Japanese Bistro	Sushi Restaurant	$$	37.758522	-122.4195573	3515 20th St, San Francisco, CA  94110, United States
Indigo Cow	Ice Cream Shop	$$	34.0772066	-118.2588825	1710 W Sunset Blvd, Los Angeles, CA  90026, United States
Proof Bakery	Bakery	$	34.1169773	-118.2616213	3156 Glendale Blvd, Los Angeles, CA 90039, United States
Motto Tea Cafe	Bubble Tea Shop	$$	34.1443159	-118.1524746	100 W Green St, Unit 101, Pasadena, CA 91105, United States
Ebisu Life Store	Japanese Grocery Store		34.09312	-118.1306362	300 W Main St, Ste 120, Alhambra, CA  91801, United States
ALittle-Tea	Bubble Tea Shop	$	34.0794904	-118.1020671	158 W Valley Blvd, San Gabriel, CA  91776, United States
Mian	Szechuan Cuisine	$$	34.0800778	-118.1043899	301 W Valley Blvd, Unit 114-115, San Gabriel, CA 91776, United States
CHAYAN	Bubble Tea Shop		33.9888117	-117.9032241	18423 Colima Rd, Rowland Heights, CA  91748, United States
Unique Green	Bubble Tea Shop		34.0792921	-118.1039523	308 W Valley Blvd, San Gabriel, CA  91776, United States
Bistro Na's	Chinese Cuisine	$$	34.104765	-118.072294	9055 Las Tunas Dr, Unit 105, Temple City, CA 91780, United States
Golden Deli	Vietnamese Cuisine	$$	34.1028146	-118.1117284	815 W Las Tunas Dr, San Gabriel, CA  91776, United States
Browned	Coffee Shop		34.0799948	-118.0990814	101 E Valley Blvd, Unit 10, San Gabriel, CA  91776, United States
Nuo Mochi	Dessert Shop		34.064024	-118.1346363	141 N Atlantic Blvd, Monterey Park, CA  91754, United States
Chong Qing Special Noodles	Chinese Cuisine	$$	34.1030145	-118.0917406	708 E Las Tunas Dr, San Gabriel, CA  91776, United States
Lao Ma Tou Hot Pot	Hot Pot Restaurant	$$$	33.992578	-117.890696	18938 E Labin Ct, Unit 101A, Rowland Heights, CA 91748, United States
Baking With Ish	Bakery	$$	34.098967	-118.109032	264 S Mission Dr, San Gabriel, CA  91776, United States
Pizzeria Sei	Neapolitan Pizza Restaurant	$$	34.0548941	-118.3834828	8781 W Pico Blvd, Los Angeles, CA 90035, United States
Honeymee	Ice Cream Shop	$$	34.0488391	-118.2398328	120 Japanese Village Plaza Mall, Los Angeles, CA  90012, United States
Shoe Palace	Shoe Store		34.0487416	-118.241108	326 E 2nd St, Los Angeles, CA  90012, United States
Little Tokyo Table Tennis	Sporting Goods Store		34.0503092	-118.2404874	309 E 1st St, Los Angeles, CA  90012, United States
BAIT	Shoe Store	$$	34.0836216	-118.3578078	7708 Melrose Ave, Los Angeles, CA  90046, United States
Palace	Skate Shop		34.0806131	-118.388109	9006 Melrose Ave, West Hollywood, CA  90069, United States
b. Patisserie	Patisserie		37.7878482	-122.4408782	2821 California St, San Francisco, CA 94115, United States
More Yogurt	Juice and Smoothie Bar		33.6971755	-117.8283452	2471 Park Ave, Irvine, CA  92782, United States
Fleurs et Sel	Bakery		34.0321507	-118.3588526	5300 W Adams Blvd, Suite 100, Los Angeles, CA 90016, United States
Petersen Automotive Museum	Museum		34.062343	-118.361028	6060 Wilshire Blvd, Los Angeles, CA 90036, United States
Always Yours Bakery Cafe	Bakery	$$	37.6962582	-122.077632	20634 Rustic Dr, Castro Valley, CA 94546, United States
Tadaima	Japanese Cuisine	$$	37.758484	-122.419554	3515 20th St, Ste B, San Francisco, CA  94110, United States
Harucake	Cake Shop		34.0632792	-118.2971985	3450 W 6th St, Unit 107, Los Angeles, CA 90010, United States
Lao Xi Noodle House	Chinese Cuisine	$$	34.1292845	-118.0549646	921 S Baldwin Ave, Ste G-H, Arcadia, CA 91007, United States
626 Hospitality Group	Ice Cream Shop	$$	34.1301387	-118.0253208	160 E Duarte Rd, Ste E, Arcadia, CA  91006, United States
Ipoh Kopitiam	Malaysian Cuisine	$$	34.0779007	-118.1232297	1411 S Garfield Ave, Unit 104, Alhambra, CA 91801, United States
Kyuramen x TBaar	Ramen Restaurant	$$	34.1076232	-118.0316465	7 Las Tunas Dr, Ste B, Arcadia, CA  91007, United States
Jincook	Korean Cuisine	$$	34.1503963	-118.2546955	310 N Brand Blvd, Glendale, CA 91203, United States
Yi Mei	Taiwanese Cuisine	$$	34.1031298	-118.0947286	416 E Las Tunas Dr, Ste A, San Gabriel, CA  91776, United States
Artisanal Goods by CAR	Bakery	$	34.1461181	-118.1295445	1009 E Colorado Blvd, Pasadena, CA  91106, United States
KazuNori	Sushi Restaurant		34.1460537	-118.1372861	635 E Colorado Blvd, Pasadena, CA  91101, United States
Kissa by Motto	Dessert Shop		34.1432733	-118.1525729	165 S De Lacey Ave, Suite 1049, Pasadena, CA 91105, United States
Neighbors & Friends Cafe	Cafe	$$	34.1466906	-118.148647	88 E Union St, Pasadena, CA  91103, United States
Pijja Palace	Indian Cuisine	$$$	34.0810745	-118.2703946	2711 W Sunset Blvd, Los Angeles, CA  90026, United States
Square Enix Cafe & Shop	Themed Cafe	$$$	34.0500459	-118.2406863	316 E 1st St, Los Angeles, CA  90012, United States
Cafe Knotted Arts District	Donut Shop		34.0455293	-118.2367622	736 E 3rd St, Los Angeles, CA  90013, United States
Matū	Steakhouse	$$$$	34.0636531	-118.3992829	239 S Beverly Dr Unit 100 Beverly Hills, CA 90212 United States
Unreal Poke	Poke Restaurant		34.1280798	-118.0550567	1019 S Baldwin Ave, Arcadia, CA  91007, United States
Grand Central Market	Food Court		34.0510257	-118.2488348	317 S Broadway, Los Angeles, CA 90013, United States
Sidecar Doughnuts & Coffee	Donut Shop	$$	34.021413	-118.4959227	631 Wilshire Blvd, Santa Monica, CA  90401, United States
Go Greek Yogurt	Frozen Yogurt Shop	$$	34.0136174	-118.4967391	1431 Ocean Ave, Santa Monica, CA  90401, United States
Fusion Dumpling	Dumpling Restaurant		37.79636	-122.40611	650 Jackson St, San Francisco, CA  94133, United States
Outta Sight Pizza	Pizza Restaurant	$	37.7945084	-122.4038712	643 Clay St, San Francisco, CA  94111, United States
Tony's Pizza Napoletana	Neapolitan Pizza Restaurant		37.8003238	-122.408976	1570 Stockton St, San Francisco, CA 94133, United States
R & G Lounge	Cantonese Cuisine		37.7941138	-122.4049419	631 Kearny St, San Francisco, CA  94108, United States
Z & Y Restaurant	Szechuan Cuisine	$$$	37.7959578	-122.4060363	655 Jackson St, San Francisco, CA 94133, United States
Rintaro	Izakaya	$$$	37.7688148	-122.4151097	82 14th St, San Francisco, CA  94103, United States
Asanebo Japanese Gourmet	Sushi Restaurant	$$$$	34.1435815	-118.3918691	11941 Ventura Blvd, Studio City, CA 91604, United States
Marina del Rey	Unincorporated Community		33.9797214	-118.4401524	Marina del Rey, CA, United States
Mandarin Coffee Stand	Coffee Shop	$$	34.1393152	-118.1318593	380 S Lake Ave, Unit 111, Pasadena, CA  91101, United States
Delight Pastry	Bakery	$$	34.1465303	-118.1491043	39 N Raymond Ave, Pasadena, CA  91103, United States
Wa-Iro	Bakery		34.1450953	-118.1486159	38 S Raymond Ave, Pasadena, CA  91105, United States
Oakobing	Shaved Ice and Snow Shop	$$	34.1465412	-118.1478823	37 N Arroyo Pkwy, Pasadena, CA  91103, United States
Bodega	Shoe Store		34.0334685	-118.2422136	1320 E 7th St, Unit 150, Los Angeles, CA 90021, United States
