slug	name	cat	city	rating	count	summary	r1	r2
bumsan-organic-milk-bar-34.0643_-118.3089	Bumsan Organic Milk Bar	Ice Cream Shop	Los Angeles	4.6	1050	Cheery, mod pink-hued stop for soft-serve ice cream with customizable toppings, sprinkles & cones.	One of my favorite K-town treats! I have loved every flavor I've tried so far. The classic milk flavor on a cone (with sugar sprinkles on the rim, duh!) and rainbow sprinkles on top is my go to fave if I need a special pick-me-up!	I ordered the taro milk and strawberry cream soft serve. I’d definitely come back for the taro! Unfortunately, they were out of croffles around 9 pm, so I’ll have to return to try them.
meadowlark-dairy-37.6603_-121.8745	Meadowlark Dairy	Ice Cream Shop	Pleasanton	4.8	4358	Long-running drive-through offering milk, cheese, ice cream & other dairy products, plus fast fare.	Awesome ice cream. Line wraps around the block but it moves very fast. Some of the best soft serve I have ever had. Totally worth the wait. The staff is full of energy and does a great job helping you decide. The whole area has a 	This is probably one of the best soft serve I had it in long time. They also have vegan options. It did look good but didn't try. The classic vanilla chocolate did hit the spot and did not disappoint after the long drive we took t
villa-s-tacos-34.1086_-118.1969	Villa's Tacos	Taco Restaurant	Los Angeles	4.6	1134		Villas Tacos absolutely lived up to all the hype! It's been cracking extra hard after the amazing Bad Bunny halftime feature, but it's well worth standing in line for. And it has 3 Michelin Gourmand Bib wins, too! The size of the 	Such a great spot. It lives up to all the hype . Great customer service and the flavors are so good . The tacos were great and so were all the aguas frescas. Definitely want to try more food options and they also have a new locati
sichuan-street-food-34.1447_-118.129	Sichuan Street Food	Szechuan Cuisine	Pasadena	4.8	199		This place is absolutely delicious. The Sichuan food is so authentic. The lamb with cumin was exactly to my taste.	Electric, instantaneous, efficient These are 3 words I would use to describe the service at Sichuan street food. I have long wanted to go and I finally dined here. With my family we ordered a myriad of dishes, each one was authent
twinflame-37.8236_-122.2566	Twinflame	Steakhouse	Oakland	4.9	8		Girlfriend and I went to twin flame. We did not have reservation so we waited in line starting at 4:50. Already a line had started to form. They stated they would only be able to accept 6 people over the course of a couple hours, 	it's a korean - japanese place so all of the side items are korean inspired and some of the hamburg toppings as well. overall food was good but: 1. nice atmosphere although no music was playing until we were basically leaving. so 
pan-y-cafe-33.7477_-117.8707	Pan Y Cafe	Bakery	Santa Ana	4.6	55		1. The pastries were delicious! The coffee was well-crafted! 2. The spot has fun casual vibes! The interior is nicely arranged! 3. The staff was friendly and timely with my order! My coffee was ready after 5 mins! Note: I did not 	Pan y Café brings that warm, neighborhood bakery comfort with a modern, cozy vibe. Fresh pastries come out tasting like they were made with real care soft, buttery, and perfect with their smooth, well balanced coffee. It’s the kin
pine-crane-34.0905_-118.2771	Pine & Crane	Taiwanese Cuisine	Los Angeles	4.6	1537	Modern eatery offering Taiwanese small plates, noodles, and rice dishes with wine and sake list.	Lately I’ve been trying more places serving Asian dishes in town than I used to be, and my most recent one being Pine and Crane. As expected, tough parking in Silver Lake, but fortunately ordering process wasn’t as bad. As the ven	Dan Dan Noodles are excellent here. The noodles were a little stuck together, maybe because I ordered takeout and they prepare them ahead of time, but honestly the flavor makes up for it. Could eat this every day. Kidding… kind of
phu-s-bakery-34.0624_-118.0729	Phu's Bakery	Bakery	Rosemead	4.4	145		Portuguese egg tarts are really tasty, the filling is just sweet enough and the size of each tart is perfect. Not the flakiest crust, if that’s what you like, but definitely worth grabbing a box!	We always come here for the Portuguese Egg Tarts only ($2 each) and parking is always terrible on the weekends. It is located in a very busy plaza on Garvey. The tarts are always good and fresh, creamy and crunchy. This chef who u
souvla-37.7745_-122.4379	Souvla	Greek Cuisine	San Francisco	4.5	2338	Hip haunt featuring roasted meat sandwiches & salads, plus Greek yogurt, beer & wine.	Souvla is a solid healthy option in Hayes Valley. The food quality is good and leaves you feeling light after, though the flavors are a bit mild. Great spot if you want something clean and quick. Don’t skip dessert—the Greek yogur	Souvla was really really good. All the food was amazing. The salads were fresh and the feta you could tell was sprinkled on directly before they served it. The pita was soft. I would hope that it was easier to eat but other than t
sun-moon-studio-37.8145_-122.2861	Sun Moon Studio	American Cuisine	Oakland	4.9	58		This place truly deserves its star. Every dish we tried was deceptively simple yet layered with complexity and intention. The dashi egg custard tart was one of the best bites I’ve had in a long time; I could have easily eaten a do	Sun Moon Studio has been our best restaurant experience in the Bay Area, period. They deserve all the hype and credit. Their food is simply amazing. They are very kind; the service is extra attentive and warm, not at all stuffy or
saltwater-bakeshop-37.7747_-122.4131	Saltwater Bakeshop	Bakery Cafe	San Francisco	4.7	27		I've come here twice within the week and what a great addition to SOMA especially for the in-office folks. I've tried the seasonal cake slice, burnt sugar cake slice, seasonal danish, passionfruit kouign amann, orange blossom card	came here with high expectations since we heard how much a lot of ppl love this place. We ordered the everything croissant but was disappointed about how little filling there was of the chive cream cheese (literally a teaspoon siz
kuidaore-handroll-bar-37.7942_-122.2766	Kuidaore Handroll Bar	Japanese Cuisine	Oakland	4.8	64		Fantastic food. Exceeded my expectations. Everything tasted excellent, and you could tell all ingredients were very fresh. Highly recommend!	The food was delicious, nothing super innovative, but tasty fish, perfectly crisp nori and fun cocktails. I loved the happy spoons and premium hand rolls. No complaints about the food, but it was quite expensive, two of us spent 2
matcha-cafe-maiko-34.0682_-118.1338	Matcha Cafe Maiko	Ice Cream Shop	Monterey Park	4.1	52		We stopped by Matcha Cafe Maiko after dinner and shared a waffle cone. It was huge and delicious! Seen it but had not stopped in. Glad we finally did! The soft serve was so good! We're definitely going back to try more! Such a cut	Came here after the movies for a quick dessert and a friend said the matcha quality is good here. They are located in a plaza with many other restaurants but the parking isn't hard to find. They have many matcha desserts and drink
yumee-katsu-37.6944_-122.0742	Yumee Katsu	Korean Cuisine	Castro Valley	4.6	26		Food was much better than expected. I had the Katsu assortment which included shrimp and fried cheese...came with 3 dipping sauce all very good. My spouse had the fried fish and it was good also...not greasy 😋 we also tried the ri	Absolutely one of our favorite katsu places. Been going to their Dublin location for a while. Super happy they opened one now in Castro Valley that is closer to us. Food is so delicious. I tried the combo and curry. The pork curry
al-carajo-sf-37.7555_-122.4194	Al Carajo SF	Mexican Cuisine	San Francisco	4.7	444		Al Carajo Yucatán is a fantastic spot for breakfast, lunch, or dinner. While I've heard people criticize the restaurant for its small dining area, I think the food more than makes up for any lack of seating comfort. As someone who	I'm not very familiar with Yucatan cuisine, but liked this place - the chicken tinga quesadilla was a personal favorite and I liked it more than their famous breakfast burrito, which was good and had a nice crunch, but was quite o
whole-cakes-37.7867_-122.4017	Whole Cakes	Bakery	San Francisco	4.1	125	Petite bakery featuring organic & gluten-free goodies, including custom cakes, cookies & muffins.	I really love the coffee cake the cappuccino was very tasty but the person working seemed nervous pressured and in a rush even though I was the first person there. There was suddenly a line behind me but they did not seem time res	Never been here before. Passed by and got intrigued by the Asian flavors on the sign. They all look lovely, so I picked four different slices to try it out. However, I’m really disappointed with the results. Three of them taste su
ones-cafe-bakery-37.6954_-122.0746	Ones Cafe & Bakery	Bakery Cafe	Castro Valley	4.6	140		We visited Ones Cafe and Bakery on a Saturday around midday to try some of their popular pastries, and everything in the display looked straight out of a Paris bakery. The selection is super unique and beautifully made. The croiss	I am so excited I found this place. Thank you to the parent on the Castro Valley Facebook group. Bets pregnancy treat for Mother’s Day. Despite the amount of people coming in, the staff was friendly and super efficient. I brought 
marufuku-ramen-37.8351_-122.2627	Marufuku Ramen	Ramen Restaurant	Oakland	4.6	1543	Contemporary spot for Japanese ramen (including hakata style), along with rice bowls, beer & sake.	Totally wanted to be impressed. Noodles were delicious, not gonna lie. They were a great tenderness and consistency. The broth was a lot less oily than I was expecting for a Hakata/Fukuoka style tonkotsu. I'm still trying to get u	My wife wanted to try this place as she's a big fan of ramen. We both got a bowl of the Hakata Tonkotsu DX. But not before starting with a few appetizers, like their Marufuku bites and classic Takoyaki. The food was filling but I 
cheese-board-pizza-37.8799_-122.2695	Cheese Board Pizza	Pizza Restaurant	Berkeley	4.8	3923	A pizzeria, bakery & cheese shop, this spot serves 1 style of veggie pizza per day & limited seats.	Popped in on April 30 and tried the mushroom pizza + salad. They do a different vegan pizza every day. As a huge meat lover, I was surprised by how much I liked the mushroom one. The staff were super sweet and even gave me an extr	Unique, surprising, and delicious! Fresh, hot, and totally tasty. Not from the area, I was caught off guard by the 1 flavor type of pizza but we barreled ahead to enjoy what was being served. It is such a popular spot that even 30
marugame-udon-37.8734_-122.2683	Marugame Udon	Udon Restaurant	Berkeley	4.5	1069		Great experience at Marugame Udon! The udon was fresh and chewy, the broth was flavorful, and the tempura topping was crispy and delicious. The drink was refreshing as well. Service was fast and friendly, and the restaurant had a 	It is a great spot for comforting and authentic Japanese food. The udon noodles were freshly made, thick, and perfectly chewy, and the broth was light yet very flavorful. I appreciated being able to customize the bowl with differe
